LocationIdentifier,Timestamp,EventCode,EventParam
5000,01:58.1,8,2
5000,02:19.8,1,2
5000,03:47.7,8,2
5000,04:10.9,1,2
5000,05:08.2,8,2
5000,05:29.7,1,2
5000,06:10.9,8,2
5000,06:32.5,1,2
5000,07:51.2,8,2
5000,08:13.7,1,2
5000,10:30.9,8,2
5000,10:53.2,1,2
5000,18:47.5,8,2
5000,19:09.7,1,2
5000,19:21.4,8,2
5000,19:44.6,1,2
5000,20:45.0,8,2
5000,23:35.9,8,2
5000,23:57.5,1,2
5000,24:21.7,8,2
5000,24:44.9,1,2
5000,27:16.8,8,2
5000,27:38.3,1,2
5000,29:26.1,8,2
5000,29:48.7,1,2
5000,35:17.9,8,2
5000,35:42.7,1,2
5000,40:01.8,8,2
5000,40:23.4,1,2
5000,40:58.5,8,2
5000,42:06.9,8,2
5000,42:29.4,1,2
5000,46:51.1,8,2
5000,47:14.0,1,2
5000,48:44.9,8,2
5000,49:06.5,1,2
5000,00:09.0,8,2
5000,00:33.6,1,2
5000,02:52.4,8,2
5000,03:14.3,1,2
5000,12:06.7,8,2
5000,12:31.1,1,2
5000,17:06.9,8,2
5000,17:30.4,1,2
5000,35:51.9,8,2
5000,36:13.9,1,2
5000,37:33.7,8,2
5000,37:55.2,1,2
5000,42:00.1,8,2
5000,42:21.7,1,2
5000,43:26.3,8,2
5000,43:49.9,1,2
5000,49:44.8,8,2
5000,50:07.4,1,2
5000,53:34.7,8,2
5000,53:56.3,1,2
5000,04:21.9,8,2
5000,04:45.8,1,2
5000,05:54.9,8,2
5000,06:17.6,1,2
5000,19:45.1,8,2
5000,20:09.0,1,2
5000,21:57.9,1,2
5000,33:13.9,8,2
5000,33:35.5,1,2
5000,34:36.0,8,2
5000,34:57.6,1,2
5000,35:50.0,8,2
5000,36:11.6,1,2
5000,25:00.4,8,2
5000,25:22.3,1,2
5000,29:19.2,8,2
5000,30:08.7,1,2
5000,43:38.5,8,2
5000,44:00.1,1,2
5000,45:31.5,8,2
5000,45:53.1,1,2
5000,48:45.0,8,2
5000,49:07.3,1,2
5000,49:36.5,8,2
5000,49:58.0,1,2
5000,52:04.9,1,2
5000,52:25.6,8,2
5000,53:53.0,8,2
5000,54:15.5,1,2
5000,57:11.8,8,2
5000,57:35.3,1,2
