LocationIdentifier,Timestamp,EventCode,EventParam
7191,12/1/2020 0:00:02.1,1,2
7191,12/1/2020 0:00:21.1,8,2
7191,12/1/2020 0:00:25.9,9,2
7191,12/1/2020 0:00:27.4,11,2
7191,12/1/2020 0:01:09.0,1,2
7191,12/1/2020 0:01:28.0,8,2
7191,12/1/2020 0:01:32.8,9,2
7191,12/1/2020 0:01:34.3,11,2
7191,12/1/2020 0:02:15.9,1,2
7191,12/1/2020 0:02:34.9,8,2
7191,12/1/2020 0:02:39.7,9,2
7191,12/1/2020 0:02:41.2,11,2
7191,12/1/2020 0:03:22.8,1,2
7191,12/1/2020 0:03:49.0,8,2
7191,12/1/2020 0:03:53.8,9,2
7191,12/1/2020 0:03:55.3,11,2
7191,12/1/2020 0:04:36.9,1,2
7191,12/1/2020 0:04:55.9,8,2
7191,12/1/2020 0:05:00.7,9,2
7191,12/1/2020 0:05:02.2,11,2
7191,12/1/2020 0:05:43.8,1,2
7191,12/1/2020 0:06:02.8,8,2
7191,12/1/2020 0:06:07.6,9,2
7191,12/1/2020 0:06:09.1,11,2
7191,12/1/2020 0:06:50.7,1,2
7191,12/1/2020 0:07:20.7,8,2
7191,12/1/2020 0:07:25.5,9,2
7191,12/1/2020 0:07:27.0,11,2
7191,12/1/2020 0:08:08.6,1,2
7191,12/1/2020 0:08:28.5,8,2
7191,12/1/2020 0:08:33.3,9,2
7191,12/1/2020 0:08:34.8,11,2
7191,12/1/2020 0:09:29.9,1,2
7191,12/1/2020 0:09:48.9,8,2
7191,12/1/2020 0:09:53.7,9,2
7191,12/1/2020 0:09:55.2,11,2
7191,12/1/2020 0:10:50.0,1,2
7191,12/1/2020 0:11:09.0,8,2
7191,12/1/2020 0:11:13.8,9,2
7191,12/1/2020 0:11:15.3,11,2
7191,12/1/2020 0:12:08.9,1,2
7191,12/1/2020 0:12:35.6,8,2
7191,12/1/2020 0:12:40.4,9,2
7191,12/1/2020 0:12:41.9,11,2
7191,12/1/2020 0:13:23.5,1,2
