SignalIdentifier,Timestamp,EventCode,EventParam
5306,5/16/2023 8:56:36.1,90,6
5306,5/16/2023 8:58:6.1,1,8
5306,5/16/2023 8:58:6.8,8,4
5306,5/16/2023 8:58:11.6,9,4
5306,5/16/2023 8:58:14.2,1,3
5306,5/16/2023 8:58:36.7,8,3
5306,5/16/2023 8:58:36.7,8,8
5306,5/16/2023 8:58:40.5,9,3
5306,5/16/2023 8:58:41.4,9,8
5306,5/16/2023 8:58:43.0,1,2
5306,5/16/2023 8:58:43.0,1,6
5306,5/16/2023 8:58:43.0,21,2
5306,5/16/2023 8:58:43.0,21,6
5306,5/16/2023 8:59:27.0,22,2
5306,5/16/2023 8:59:30.0,22,6
5306,5/16/2023 8:59:47.0,8,2
5306,5/16/2023 8:59:47.0,8,6
5306,5/16/2023 8:59:51.1,9,2
5306,5/16/2023 8:59:51.1,9,6
5306,5/16/2023 8:59:53.0,1,4
5306,5/16/2023 8:59:53.0,1,7
5306,5/16/2023 9:00:0.5,8,4
5306,5/16/2023 9:00:2.7,8,7
5306,5/16/2023 9:00:5.3,9,4
5306,5/16/2023 9:00:5.7,9,7
5306,5/16/2023 9:00:7.9,1,3
5306,5/16/2023 9:00:8.0,1,8
5306,5/16/2023 9:00:20.4,8,3
5306,5/16/2023 9:00:20.4,8,8
5306,5/16/2023 9:00:24.2,9,3
5306,5/16/2023 9:00:25.1,9,8
5306,5/16/2023 9:00:26.7,1,2
5306,5/16/2023 9:00:26.7,1,6
5306,5/16/2023 9:00:26.7,21,2
5306,5/16/2023 9:00:26.7,21,6
5306,5/16/2023 9:01:47.0,8,2
5306,5/16/2023 9:01:47.0,8,6
5306,5/16/2023 9:01:51.1,9,2
5306,5/16/2023 9:01:51.1,9,6
5306,5/16/2023 9:01:53.0,1,4
5306,5/16/2023 9:01:53.0,1,7
5306,5/16/2023 9:01:58.4,8,7
5306,5/16/2023 9:02:0.6,22,6
5306,5/16/2023 9:02:1.1,45,8
5306,5/16/2023 9:02:1.1,90,8
5306,5/16/2023 9:02:1.4,9,7
5306,5/16/2023 9:02:1.8,8,4
5306,5/16/2023 9:02:3.7,1,8
5306,5/16/2023 9:02:3.7,21,8
5306,5/16/2023 9:02:6.6,9,4
5306,5/16/2023 9:02:9.2,1,3
5306,5/16/2023 9:02:10.7,22,8
5306,5/16/2023 9:02:32.7,8,3
5306,5/16/2023 9:02:32.7,8,8
5306,5/16/2023 9:02:36.5,9,3
5306,5/16/2023 9:02:37.4,9,8
5306,5/16/2023 9:02:39.0,1,2
5306,5/16/2023 9:02:39.0,1,6
5306,5/16/2023 9:02:39.0,21,2
5306,5/16/2023 9:02:39.0,21,6
5306,5/16/2023 9:02:41.4,45,2
5306,5/16/2023 9:02:41.4,90,2
5306,5/16/2023 9:03:27.0,22,2
5306,5/16/2023 9:03:30.0,22,6
5306,5/16/2023 9:03:47.0,8,2
5306,5/16/2023 9:03:47.0,8,6
5306,5/16/2023 9:03:51.1,9,2
5306,5/16/2023 9:03:51.1,9,6
5306,5/16/2023 9:03:53.0,1,4
5306,5/16/2023 9:03:53.0,1,8
5306,5/16/2023 9:03:59.1,8,4
5306,5/16/2023 9:04:3.9,9,4
5306,5/16/2023 9:04:6.5,1,3
5306,5/16/2023 9:04:30.6,8,3
5306,5/16/2023 9:04:30.6,8,8
5306,5/16/2023 9:04:34.4,9,3
5306,5/16/2023 9:04:35.3,9,8
5306,5/16/2023 9:04:36.9,1,2
5306,5/16/2023 9:04:36.9,1,6
5306,5/16/2023 9:04:36.9,21,2
5306,5/16/2023 9:04:36.9,21,6
