Signal Id,Timestamp,Event Code,Event Parameter
7115,08/09/2023 15:01:08.600,1,2
7115,08/09/2023 15:02:15.700,6,2
7115,08/09/2023 15:02:15.700,8,2
7115,08/09/2023 15:02:20.800,9,2
7115,08/09/2023 15:03:47.000,1,2
7115,08/09/2023 15:04:45.700,6,2
7115,08/09/2023 15:04:45.700,8,2
7115,08/09/2023 15:04:50.800,9,2
7115,08/09/2023 15:06:16.200,1,2
7115,08/09/2023 15:07:15.700,6,2
7115,08/09/2023 15:07:15.700,8,2
7115,08/09/2023 15:07:20.800,9,2
7115,08/09/2023 15:08:47.000,1,2
7115,08/09/2023 15:09:45.700,6,2
7115,08/09/2023 15:09:45.700,8,2
7115,08/09/2023 15:09:50.800,9,2
7115,08/09/2023 15:11:17.000,1,2
7115,08/09/2023 15:12:15.700,6,2
7115,08/09/2023 15:12:15.700,8,2
7115,08/09/2023 15:12:20.800,9,2
7115,08/09/2023 15:13:47.000,1,2
7115,08/09/2023 15:14:45.700,6,2
7115,08/09/2023 15:14:45.700,8,2
7115,08/09/2023 15:14:50.800,9,2
7115,08/09/2023 15:16:17.000,1,2
7115,08/09/2023 15:17:15.700,6,2
7115,08/09/2023 15:17:15.700,8,2
7115,08/09/2023 15:17:20.800,9,2
7115,08/09/2023 15:18:46.500,1,2
7115,08/09/2023 15:19:45.700,6,2
7115,08/09/2023 15:19:45.700,8,2
7115,08/09/2023 15:19:50.800,9,2
7115,08/09/2023 15:21:15.100,1,2
7115,08/09/2023 15:22:15.700,6,2
7115,08/09/2023 15:22:15.700,8,2
7115,08/09/2023 15:22:20.800,9,2
7115,08/09/2023 15:23:46.500,1,2
7115,08/09/2023 15:24:45.700,6,2
7115,08/09/2023 15:24:45.700,8,2
7115,08/09/2023 15:24:50.800,9,2
7115,08/09/2023 15:26:17.000,1,2
7115,08/09/2023 15:27:15.700,6,2
7115,08/09/2023 15:27:15.700,8,2
7115,08/09/2023 15:27:20.800,9,2
7115,08/09/2023 15:28:47.000,1,2
7115,08/09/2023 15:29:45.700,6,2
7115,08/09/2023 15:29:45.700,8,2
7115,08/09/2023 15:29:50.800,9,2
7115,08/09/2023 15:31:17.000,1,2
7115,08/09/2023 15:32:15.700,6,2
7115,08/09/2023 15:32:15.700,8,2
