SignalIdentifier,EventCode,EventParam,Timestamp
7115,82,21,00:03.9
7115,82,20,00:04.9
7115,82,20,00:07.7
7115,82,19,00:13.9
7115,81,19,00:16.4
7115,82,19,00:17.5
7115,82,19,00:18.3
7115,81,19,00:18.5
7115,81,19,00:20.6
7115,82,19,00:27.2
7115,81,19,00:27.5
7115,82,19,00:28.6
7115,82,19,00:33.0
7115,82,21,00:35.8
7115,82,19,00:53.9
7115,81,21,01:11.6
7115,81,20,01:14.3
7115,81,21,01:14.9
7115,81,19,01:15.1
7115,82,19,01:18.4
7115,82,21,01:18.8
7115,81,20,01:18.8
7115,81,20,01:20.1
7115,81,19,01:20.5
7115,81,21,01:21.6
7115,82,21,01:22.0
7115,82,21,01:22.7
7115,81,19,01:23.4
7115,81,21,01:23.8
7115,81,19,01:24.0
7115,81,21,01:24.4
7115,82,21,01:25.2
7115,81,21,01:27.4
7115,82,19,01:27.9
7115,82,20,01:30.9
7115,81,20,01:32.2
7115,82,20,01:56.2
7115,81,20,01:57.7
7115,81,19,02:15.0
7115,82,19,02:15.7
7115,82,21,02:27.3
7115,82,21,02:29.4
7115,82,21,02:30.2
7115,82,20,02:41.4
7115,82,20,02:41.9
7115,82,19,02:45.7
7115,82,19,02:54.3
7115,81,19,03:31.3
7115,82,19,03:32.6
7115,81,19,03:41.3
7115,81,19,03:47.1
7115,81,20,03:47.4
7115,81,21,03:48.3
7115,82,19,03:49.2
7115,81,19,03:52.0
7115,81,20,03:53.1
7115,81,19,03:53.9
7115,81,21,03:54.1
7115,82,21,03:54.4
7115,81,21,03:54.9
7115,82,21,03:55.1
7115,82,20,03:55.3
7115,81,21,03:56.5
7115,81,21,03:57.1
7115,81,20,03:57.5
7115,82,21,04:02.9
7115,82,20,04:04.0
7115,82,21,04:04.6
7115,82,19,04:05.9
7115,81,21,04:06.8
7115,81,20,04:06.9
7115,81,21,04:07.1
7115,81,19,04:07.3
7115,82,19,04:27.4
7115,81,19,04:29.6
7115,82,20,04:32.9
7115,81,20,04:34.0
7115,82,21,04:56.3
7115,82,20,05:07.9
7115,82,20,05:08.7
7115,82,19,05:10.5
7115,82,21,05:11.5
7115,82,21,05:15.0
7115,82,19,05:26.5
7115,82,20,05:36.0
7115,82,19,05:43.7
7115,81,19,06:10.8
7115,81,20,06:11.2
7115,81,21,06:12.5
7115,81,21,06:20.8
7115,81,19,06:21.3
7115,81,21,06:21.6
7115,82,21,06:23.6
7115,81,20,06:24.1
7115,82,20,06:24.2
7115,81,19,06:25.3
7115,81,21,06:25.5
7115,82,19,06:26.1
7115,81,20,06:27.3
7115,82,21,06:27.5
7115,81,19,06:27.6
7115,82,19,06:29.3
7115,81,19,06:31.1
7115,81,20,06:31.2
7115,81,21,06:31.4
7115,82,19,06:31.8
7115,81,19,06:34.5
7115,82,19,06:43.0
7115,81,19,06:44.5
7115,82,19,06:52.0
7115,81,19,06:54.3
7115,82,20,06:56.9
7115,81,20,07:00.5
7115,82,21,07:01.0
7115,81,21,07:02.3
7115,82,21,07:31.7
7115,82,20,07:38.0
7115,81,21,07:42.5
7115,82,19,07:42.9
7115,82,19,07:45.5
7115,82,21,07:48.2
7115,82,20,07:50.0
7115,81,21,07:53.0
7115,82,21,08:13.9
7115,82,19,08:21.9
7115,82,20,08:22.0
7115,82,21,08:49.5
7115,81,21,08:52.2
7115,81,19,08:52.5
7115,81,20,08:52.6
7115,82,19,08:52.8
7115,82,20,08:53.0
7115,81,19,08:53.4
7115,81,21,08:53.6
7115,81,20,08:54.1
7115,81,19,08:55.1
7115,81,19,08:55.1
7115,81,20,08:55.5
7115,81,20,08:56.0
7115,82,21,08:58.2
7115,82,20,08:58.3
7115,82,21,08:58.9
7115,81,21,09:01.2
7115,81,21,09:01.3
7115,82,19,09:02.1
7115,81,19,09:02.7
7115,82,19,09:04.2
7115,81,20,09:05.2
7115,82,19,09:05.6
7115,82,21,09:06.2
7115,81,19,09:06.3
7115,81,21,09:08.6
7115,81,19,09:11.0
7115,82,20,09:11.3
7115,82,19,09:12.9
7115,81,19,09:13.7
7115,82,19,09:13.8
7115,81,19,09:14.2
7115,81,20,09:16.0
7115,82,19,09:24.8
7115,81,19,09:25.3
7115,82,20,09:30.6
7115,81,20,09:31.7
7115,82,21,09:42.8
7115,81,21,09:45.0
7115,82,20,09:52.0
7115,81,20,09:52.4
7115,82,20,09:56.4
7115,82,20,10:02.5
7115,82,19,10:09.8
7115,82,20,10:11.9
7115,82,21,10:19.9
7115,82,19,10:29.8
7115,82,21,10:59.3
7115,82,19,11:01.7
7115,81,21,11:02.3
7115,81,19,11:03.6
7115,82,19,11:04.3
7115,81,21,11:17.4
7115,82,21,11:17.9
7115,81,19,11:18.4
7115,81,21,11:20.2
7115,81,20,11:20.3
7115,81,19,11:22.2
7115,81,19,11:22.3
7115,82,21,11:23.5
7115,82,21,11:23.7
7115,81,20,11:24.5
7115,81,21,11:25.4
7115,81,21,11:25.5
7115,81,20,11:26.1
7115,82,19,11:26.6
7115,82,20,11:27.7
7115,81,19,11:29.8
7115,81,20,11:32.4
7115,82,20,11:33.6
7115,81,20,11:35.8
7115,82,21,12:23.0
7115,82,21,12:31.4
7115,82,21,12:32.2
7115,82,19,12:33.5
7115,82,19,12:42.9
7115,82,20,12:43.4
7115,82,20,12:46.1
7115,81,20,12:48.0
7115,82,19,12:52.2
7115,82,20,13:38.3
7115,81,21,13:43.6
7115,82,21,13:47.2
7115,81,19,13:49.2
7115,81,21,13:49.9
7115,81,20,13:50.9
7115,81,19,13:52.0
7115,81,20,13:52.1
7115,81,21,13:52.5
7115,82,20,13:53.3
7115,81,21,13:53.6
7115,82,19,13:54.2
7115,82,21,13:54.2
7115,81,19,13:54.4
7115,81,19,13:55.3
7115,81,20,13:55.5
7115,81,21,13:56.3
7115,82,19,13:56.3
7115,82,19,13:57.0
7115,82,21,13:57.1
7115,81,19,13:57.8
7115,81,19,13:58.5
7115,81,21,13:59.0
7115,82,20,14:02.0
7115,81,20,14:04.1
7115,82,20,14:06.7
7115,82,19,14:07.6
7115,82,19,14:07.9
7115,81,19,14:08.9
7115,81,20,14:09.4
7115,81,19,14:12.9
7115,82,19,14:24.4
7115,81,19,14:25.8
7115,82,20,14:28.9
7115,81,20,14:30.9
7115,82,19,14:54.7
7115,82,21,14:56.7
7115,82,21,15:12.1
7115,82,20,15:12.9
7115,82,20,15:14.5
7115,82,20,15:20.1
7115,82,19,15:23.7
7115,82,21,15:27.4
7115,81,21,15:53.2
7115,82,21,15:58.1
7115,82,19,16:00.0
7115,81,21,16:02.3
7115,81,20,16:12.3
7115,81,19,16:12.8
7115,81,21,16:17.1
7115,82,19,16:18.4
7115,81,19,16:20.5
7115,81,20,16:22.3
7115,81,19,16:22.8
7115,81,19,16:23.5
7115,81,21,16:24.0
7115,82,19,16:24.0
7115,81,19,16:25.5
7115,81,20,16:25.6
7115,82,19,16:31.9
7115,81,19,16:33.1
7115,82,21,16:57.4
7115,81,21,17:16.3
7115,82,20,17:17.4
7115,82,21,17:29.2
7115,82,21,17:33.3
7115,82,21,17:41.3
7115,82,19,17:41.3
7115,82,20,17:42.9
7115,82,19,17:57.4
7115,81,19,17:59.3
7115,82,19,18:24.6
7115,82,19,18:38.1
7115,81,19,18:38.5
7115,82,20,18:40.1
7115,82,19,18:47.6
7115,81,20,18:47.7
7115,81,19,18:48.7
7115,81,21,18:48.7
7115,81,19,18:51.9
7115,81,21,18:53.4
7115,82,21,18:53.5
7115,81,20,18:53.7
7115,81,20,18:54.0
7115,81,19,18:54.2
7115,81,21,18:54.2
7115,81,21,18:55.8
7115,82,19,18:59.4
7115,82,20,18:59.6
7115,81,19,19:00.2
7115,81,20,19:00.8
7115,82,20,19:02.9
7115,81,20,19:04.2
7115,82,20,19:04.4
7115,81,20,19:06.4
7115,82,20,19:07.6
7115,81,20,19:08.5
7115,82,21,19:57.4
7115,82,21,19:58.9
7115,81,21,20:00.1
7115,82,21,20:01.3
7115,82,20,20:11.1
7115,82,19,20:12.1
7115,82,19,20:13.0
7115,81,19,20:13.8
7115,82,20,20:17.2
7115,82,19,20:17.7
7115,82,21,20:20.5
7115,82,19,20:34.1
7115,81,20,21:18.7
7115,81,21,21:20.0
7115,81,20,21:20.8
