Start,End,LocationIdentifier,PriorityNumber,PriorityRequests,PriorityServiceEarlyGreen,PriorityServiceExtendedGreen
3/26/2026 0:00,3/26/2026 0:15,7707,3,0,0,0
3/26/2026 0:00,3/26/2026 0:15,7707,4,0,0,0
3/26/2026 0:00,3/26/2026 0:15,7707,5,0,0,0
3/26/2026 0:00,3/26/2026 0:15,7707,6,0,0,0
3/26/2026 0:15,3/26/2026 0:30,7707,3,0,0,0
3/26/2026 0:15,3/26/2026 0:30,7707,4,0,0,0
3/26/2026 0:15,3/26/2026 0:30,7707,5,0,0,0
3/26/2026 0:15,3/26/2026 0:30,7707,6,0,0,0
3/26/2026 0:30,3/26/2026 0:45,7707,3,0,0,0
3/26/2026 0:30,3/26/2026 0:45,7707,4,0,0,0
3/26/2026 0:30,3/26/2026 0:45,7707,5,0,0,0
3/26/2026 0:30,3/26/2026 0:45,7707,6,0,0,0
3/26/2026 0:45,3/26/2026 1:00,7707,3,0,0,0
3/26/2026 0:45,3/26/2026 1:00,7707,4,0,0,0
3/26/2026 0:45,3/26/2026 1:00,7707,5,0,0,0
3/26/2026 0:45,3/26/2026 1:00,7707,6,0,0,0
3/26/2026 1:00,3/26/2026 1:15,7707,3,0,0,0
3/26/2026 1:00,3/26/2026 1:15,7707,4,0,0,0
3/26/2026 1:00,3/26/2026 1:15,7707,5,0,0,0
3/26/2026 1:00,3/26/2026 1:15,7707,6,0,0,0
3/26/2026 1:15,3/26/2026 1:30,7707,3,0,0,0
3/26/2026 1:15,3/26/2026 1:30,7707,4,0,0,0
3/26/2026 1:15,3/26/2026 1:30,7707,5,0,0,0
3/26/2026 1:15,3/26/2026 1:30,7707,6,0,0,0
3/26/2026 1:30,3/26/2026 1:45,7707,3,0,0,0
3/26/2026 1:30,3/26/2026 1:45,7707,4,0,0,0
3/26/2026 1:30,3/26/2026 1:45,7707,5,0,0,0
3/26/2026 1:30,3/26/2026 1:45,7707,6,0,0,0
3/26/2026 1:45,3/26/2026 2:00,7707,3,0,0,0
3/26/2026 1:45,3/26/2026 2:00,7707,4,0,0,0
3/26/2026 1:45,3/26/2026 2:00,7707,5,0,0,0
3/26/2026 1:45,3/26/2026 2:00,7707,6,0,0,0
3/26/2026 2:00,3/26/2026 2:15,7707,3,0,0,0
3/26/2026 2:00,3/26/2026 2:15,7707,4,0,0,0
3/26/2026 2:00,3/26/2026 2:15,7707,5,0,0,0
3/26/2026 2:00,3/26/2026 2:15,7707,6,0,0,0
3/26/2026 2:15,3/26/2026 2:30,7707,3,0,0,0
3/26/2026 2:15,3/26/2026 2:30,7707,4,0,0,0
3/26/2026 2:15,3/26/2026 2:30,7707,5,0,0,0
3/26/2026 2:15,3/26/2026 2:30,7707,6,0,0,0
3/26/2026 2:30,3/26/2026 2:45,7707,3,0,0,0
3/26/2026 2:30,3/26/2026 2:45,7707,4,0,0,0
3/26/2026 2:30,3/26/2026 2:45,7707,5,0,0,0
3/26/2026 2:30,3/26/2026 2:45,7707,6,0,0,0
3/26/2026 2:45,3/26/2026 3:00,7707,3,0,0,0
3/26/2026 2:45,3/26/2026 3:00,7707,4,0,0,0
3/26/2026 2:45,3/26/2026 3:00,7707,5,0,0,0
3/26/2026 2:45,3/26/2026 3:00,7707,6,0,0,0
3/26/2026 3:00,3/26/2026 3:15,7707,3,0,0,0
3/26/2026 3:00,3/26/2026 3:15,7707,4,0,0,0
3/26/2026 3:00,3/26/2026 3:15,7707,5,0,0,0
3/26/2026 3:00,3/26/2026 3:15,7707,6,0,0,0
3/26/2026 3:15,3/26/2026 3:30,7707,3,0,0,0
3/26/2026 3:15,3/26/2026 3:30,7707,4,0,0,0
3/26/2026 3:15,3/26/2026 3:30,7707,5,0,0,0
3/26/2026 3:15,3/26/2026 3:30,7707,6,0,0,0
3/26/2026 3:30,3/26/2026 3:45,7707,3,0,0,0
3/26/2026 3:30,3/26/2026 3:45,7707,4,0,0,0
3/26/2026 3:30,3/26/2026 3:45,7707,5,0,0,0
3/26/2026 3:30,3/26/2026 3:45,7707,6,0,0,0
3/26/2026 3:45,3/26/2026 4:00,7707,3,0,0,0
3/26/2026 3:45,3/26/2026 4:00,7707,4,0,0,0
3/26/2026 3:45,3/26/2026 4:00,7707,5,0,0,0
3/26/2026 3:45,3/26/2026 4:00,7707,6,0,0,0
3/26/2026 4:00,3/26/2026 4:15,7707,3,0,0,0
3/26/2026 4:00,3/26/2026 4:15,7707,4,0,0,0
3/26/2026 4:00,3/26/2026 4:15,7707,5,0,0,0
3/26/2026 4:00,3/26/2026 4:15,7707,6,0,0,0
3/26/2026 4:15,3/26/2026 4:30,7707,3,0,0,0
3/26/2026 4:15,3/26/2026 4:30,7707,4,0,0,0
3/26/2026 4:15,3/26/2026 4:30,7707,5,0,0,0
3/26/2026 4:15,3/26/2026 4:30,7707,6,0,0,0
3/26/2026 4:30,3/26/2026 4:45,7707,3,0,0,0
3/26/2026 4:30,3/26/2026 4:45,7707,4,0,0,0
3/26/2026 4:30,3/26/2026 4:45,7707,5,0,0,0
3/26/2026 4:30,3/26/2026 4:45,7707,6,0,0,0
3/26/2026 4:45,3/26/2026 5:00,7707,3,0,0,0
3/26/2026 4:45,3/26/2026 5:00,7707,4,0,0,0
3/26/2026 4:45,3/26/2026 5:00,7707,5,0,0,0
3/26/2026 4:45,3/26/2026 5:00,7707,6,0,0,0
3/26/2026 5:00,3/26/2026 5:15,7707,3,0,0,0
3/26/2026 5:00,3/26/2026 5:15,7707,4,0,0,0
3/26/2026 5:00,3/26/2026 5:15,7707,5,0,0,0
3/26/2026 5:00,3/26/2026 5:15,7707,6,0,0,0
3/26/2026 5:15,3/26/2026 5:30,7707,3,0,0,0
3/26/2026 5:15,3/26/2026 5:30,7707,4,0,0,0
3/26/2026 5:15,3/26/2026 5:30,7707,5,0,0,0
3/26/2026 5:15,3/26/2026 5:30,7707,6,0,0,0
3/26/2026 5:30,3/26/2026 5:45,7707,3,0,0,0
3/26/2026 5:30,3/26/2026 5:45,7707,4,0,0,0
3/26/2026 5:30,3/26/2026 5:45,7707,5,0,0,0
3/26/2026 5:30,3/26/2026 5:45,7707,6,0,0,0
3/26/2026 5:45,3/26/2026 6:00,7707,3,0,0,0
3/26/2026 5:45,3/26/2026 6:00,7707,4,0,0,0
3/26/2026 5:45,3/26/2026 6:00,7707,5,0,0,0
3/26/2026 5:45,3/26/2026 6:00,7707,6,0,0,0
3/26/2026 6:00,3/26/2026 6:15,7707,3,1,0,0
3/26/2026 6:00,3/26/2026 6:15,7707,4,0,0,0
3/26/2026 6:00,3/26/2026 6:15,7707,5,0,0,0
3/26/2026 6:00,3/26/2026 6:15,7707,6,1,1,0
3/26/2026 6:15,3/26/2026 6:30,7707,3,0,0,0
3/26/2026 6:15,3/26/2026 6:30,7707,4,1,2,0
3/26/2026 6:15,3/26/2026 6:30,7707,5,1,1,0
3/26/2026 6:15,3/26/2026 6:30,7707,6,1,1,0
3/26/2026 6:30,3/26/2026 6:45,7707,3,0,0,0
