SignalIdentifier,Timestamp,EventCode,EventParam
7115,4/17/2023 7:45,1,2
7115,4/17/2023 7:46,8,2
7115,4/17/2023 7:46,9,2
7115,4/17/2023 7:48,1,2
7115,4/17/2023 7:49,8,2
7115,4/17/2023 7:49,9,2
7115,4/17/2023 7:50,1,2
7115,4/17/2023 7:51,8,2
7115,4/17/2023 7:51,9,2
7115,4/17/2023 7:53,1,2
7115,4/17/2023 7:54,8,2
7115,4/17/2023 7:54,9,2
7115,4/17/2023 7:55,1,2
7115,4/17/2023 7:56,8,2
7115,4/17/2023 7:56,9,2
7115,4/17/2023 7:58,1,2
7115,4/17/2023 7:59,8,2
7115,4/17/2023 7:59,9,2
7115,4/17/2023 8:00,1,2
7115,4/17/2023 8:01,8,2
7115,4/17/2023 8:01,9,2
7115,4/17/2023 8:03,1,2
7115,4/17/2023 8:04,8,2
7115,4/17/2023 8:04,9,2
7115,4/17/2023 8:05,1,2
7115,4/17/2023 8:06,8,2
7115,4/17/2023 8:06,9,2
7115,4/17/2023 8:08,1,2
7115,4/17/2023 8:09,8,2
7115,4/17/2023 8:09,9,2
7115,4/17/2023 8:10,1,2
7115,4/17/2023 8:11,8,2
7115,4/17/2023 8:11,9,2
7115,4/17/2023 8:13,1,2
7115,4/17/2023 8:14,8,2
7115,4/17/2023 8:14,9,2
7115,4/17/2023 8:15,1,2
7115,4/17/2023 8:16,8,2
7115,4/17/2023 8:16,9,2
7115,4/17/2023 8:18,1,2
7115,4/17/2023 8:19,8,2
7115,4/17/2023 8:19,9,2
7115,4/17/2023 8:20,1,2
7115,4/17/2023 8:21,8,2
7115,4/17/2023 8:21,9,2
7115,4/17/2023 8:23,1,2
7115,4/17/2023 8:24,8,2
7115,4/17/2023 8:24,9,2
7115,4/17/2023 8:25,1,2
7115,4/17/2023 8:26,8,2
7115,4/17/2023 8:26,9,2
7115,4/17/2023 8:28,1,2
7115,4/17/2023 8:29,8,2
7115,4/17/2023 8:29,9,2
7115,4/17/2023 8:30,1,2
7115,4/17/2023 8:31,8,2
7115,4/17/2023 8:31,9,2
7115,4/17/2023 8:33,1,2
7115,4/17/2023 8:34,8,2
7115,4/17/2023 8:34,9,2
7115,4/17/2023 8:35,1,2
7115,4/17/2023 8:36,8,2
7115,4/17/2023 8:36,9,2
7115,4/17/2023 8:38,1,2
7115,4/17/2023 8:39,8,2
7115,4/17/2023 8:39,9,2
7115,4/17/2023 8:40,1,2
7115,4/17/2023 8:41,8,2
7115,4/17/2023 8:41,9,2
7115,4/17/2023 8:43,1,2
7115,4/17/2023 8:44,8,2
7115,4/17/2023 8:44,9,2
7115,4/17/2023 8:45,1,2
7115,4/17/2023 8:46,8,2
7115,4/17/2023 8:46,9,2
7115,4/17/2023 8:48,1,2
7115,4/17/2023 8:49,8,2
7115,4/17/2023 8:49,9,2
7115,4/17/2023 8:50,1,2
7115,4/17/2023 8:51,8,2
7115,4/17/2023 8:51,9,2
7115,4/17/2023 8:53,1,2
7115,4/17/2023 8:54,8,2
7115,4/17/2023 8:54,9,2
7115,4/17/2023 8:55,1,2
7115,4/17/2023 8:56,8,2
7115,4/17/2023 8:56,9,2
7115,4/17/2023 8:58,1,2
7115,4/17/2023 8:59,8,2
7115,4/17/2023 8:59,9,2
7115,4/17/2023 9:00,1,2
7115,4/17/2023 9:01,8,2
7115,4/17/2023 9:01,9,2
7115,4/17/2023 9:03,1,2
7115,4/17/2023 9:04,8,2
7115,4/17/2023 9:04,9,2
7115,4/17/2023 9:05,1,2
7115,4/17/2023 9:06,8,2
7115,4/17/2023 9:06,9,2
7115,4/17/2023 9:08,1,2
7115,4/17/2023 9:09,8,2
7115,4/17/2023 9:09,9,2
7115,4/17/2023 9:10,1,2
7115,4/17/2023 9:11,8,2
7115,4/17/2023 9:11,9,2
7115,4/17/2023 9:13,1,2
7115,4/17/2023 9:14,8,2
7115,4/17/2023 9:14,9,2
7115,4/17/2023 9:15,1,2
7115,4/17/2023 9:15,8,2
7115,4/17/2023 9:15,9,2
