SignalIdentifier,EventCode,EventParam,Timestamp
7115,82,19,8/9/2023 15:00:33.0
7115,82,21,8/9/2023 15:00:35.8
7115,81,21,8/9/2023 15:01:11.6
7115,81,20,8/9/2023 15:01:14.3
7115,81,19,8/9/2023 15:01:15.1
7115,82,19,8/9/2023 15:01:18.4
7115,81,19,8/9/2023 15:01:20.5
7115,82,19,8/9/2023 15:01:27.9
7115,81,19,8/9/2023 15:02:15.0
7115,82,19,8/9/2023 15:02:15.7
7115,82,21,8/9/2023 15:02:30.2
7115,82,20,8/9/2023 15:02:41.9
7115,81,19,8/9/2023 15:03:31.3
7115,82,19,8/9/2023 15:03:32.6
7115,81,19,8/9/2023 15:03:41.3
7115,82,19,8/9/2023 15:03:49.2
7115,81,20,8/9/2023 15:03:53.1
7115,81,19,8/9/2023 15:03:53.9
7115,81,21,8/9/2023 15:03:54.9
7115,82,21,8/9/2023 15:03:55.1
7115,81,21,8/9/2023 15:03:57.1
7115,82,21,8/9/2023 15:04:02.9
7115,81,21,8/9/2023 15:04:07.1
7115,82,19,8/9/2023 15:04:27.4
7115,81,19,8/9/2023 15:04:29.6
7115,82,21,8/9/2023 15:04:56.3
7115,82,20,8/9/2023 15:05:07.9
7115,82,19,8/9/2023 15:05:43.7
7115,81,21,8/9/2023 15:06:20.8
7115,81,19,8/9/2023 15:06:21.3
7115,82,21,8/9/2023 15:06:23.6
7115,81,21,8/9/2023 15:06:25.5
7115,81,20,8/9/2023 15:06:31.2
7115,82,19,8/9/2023 15:06:43.0
7115,81,19,8/9/2023 15:06:44.5
7115,82,19,8/9/2023 15:07:42.9
7115,82,21,8/9/2023 15:07:48.2
7115,82,20,8/9/2023 15:07:50.0
7115,81,21,8/9/2023 15:07:53.0
7115,82,21,8/9/2023 15:08:49.5
7115,81,21,8/9/2023 15:08:52.2
7115,81,19,8/9/2023 15:08:52.5
7115,82,19,8/9/2023 15:08:52.8
7115,81,20,8/9/2023 15:08:54.1
7115,81,19,8/9/2023 15:08:55.1
7115,82,20,8/9/2023 15:10:11.9
7115,82,19,8/9/2023 15:11:01.7
7115,81,19,8/9/2023 15:11:03.6
7115,82,19,8/9/2023 15:11:04.3
7115,81,19,8/9/2023 15:11:22.2
7115,82,21,8/9/2023 15:11:23.5
7115,81,20,8/9/2023 15:11:24.5
7115,81,21,8/9/2023 15:11:25.5
7115,82,19,8/9/2023 15:11:26.6
7115,82,20,8/9/2023 15:11:27.7
7115,81,19,8/9/2023 15:11:29.8
7115,81,20,8/9/2023 15:11:32.4
7115,82,21,8/9/2023 15:12:23.0
7115,82,19,8/9/2023 15:12:52.2
7115,82,20,8/9/2023 15:13:53.3
7115,81,21,8/9/2023 15:13:53.6
7115,81,19,8/9/2023 15:13:54.4
7115,81,20,8/9/2023 15:13:55.5
7115,82,19,8/9/2023 15:13:57.0
7115,81,19,8/9/2023 15:13:58.5
7115,82,20,8/9/2023 15:14:06.7
7115,82,19,8/9/2023 15:14:07.6
7115,81,19,8/9/2023 15:14:08.9
7115,81,20,8/9/2023 15:14:09.4
7115,82,21,8/9/2023 15:15:12.1
7115,82,20,8/9/2023 15:15:20.1
7115,82,19,8/9/2023 15:16:00.0
7115,81,19,8/9/2023 15:16:22.8
7115,81,21,8/9/2023 15:16:24.0
7115,82,19,8/9/2023 15:16:24.0
7115,81,19,8/9/2023 15:16:25.5
7115,81,20,8/9/2023 15:16:25.6
7115,82,21,8/9/2023 15:16:57.4
7115,81,21,8/9/2023 15:17:16.3
7115,82,20,8/9/2023 15:17:17.4
7115,82,21,8/9/2023 15:17:41.3
7115,82,19,8/9/2023 15:17:57.4
7115,81,19,8/9/2023 15:17:59.3
7115,82,19,8/9/2023 15:18:38.1
7115,81,19,8/9/2023 15:18:38.5
7115,82,19,8/9/2023 15:18:47.6
7115,81,20,8/9/2023 15:18:53.7
7115,81,19,8/9/2023 15:18:54.2
7115,81,21,8/9/2023 15:18:54.2
7115,82,20,8/9/2023 15:19:04.4
7115,81,20,8/9/2023 15:19:06.4
7115,82,21,8/9/2023 15:19:58.9
7115,81,21,8/9/2023 15:20:00.1
7115,82,21,8/9/2023 15:20:01.3
7115,82,20,8/9/2023 15:20:17.2
7115,82,19,8/9/2023 15:20:17.7
7115,81,20,8/9/2023 15:21:18.7
7115,81,21,8/9/2023 15:21:20.0
7115,81,19,8/9/2023 15:21:21.5
7115,82,20,8/9/2023 15:21:32.7
7115,81,20,8/9/2023 15:21:33.0
7115,82,20,8/9/2023 15:21:37.6
7115,81,20,8/9/2023 15:21:38.6
7115,82,21,8/9/2023 15:22:34.1
7115,82,19,8/9/2023 15:22:56.2
7115,82,20,8/9/2023 15:22:58.0
7115,81,19,8/9/2023 15:23:42.9
7115,82,19,8/9/2023 15:23:43.7
7115,81,19,8/9/2023 15:23:50.0
7115,81,20,8/9/2023 15:23:51.8
7115,81,21,8/9/2023 15:23:51.8
7115,82,20,8/9/2023 15:24:12.8
7115,81,20,8/9/2023 15:24:14.1
7115,82,19,8/9/2023 15:24:25.7
7115,81,19,8/9/2023 15:24:26.7
7115,82,19,8/9/2023 15:25:16.6
7115,82,20,8/9/2023 15:25:21.8
7115,82,21,8/9/2023 15:26:16.1
7115,81,21,8/9/2023 15:26:21.6
7115,81,19,8/9/2023 15:26:23.0
7115,81,20,8/9/2023 15:26:23.8
7115,82,21,8/9/2023 15:26:27.9
7115,81,21,8/9/2023 15:26:29.7
7115,82,19,8/9/2023 15:26:30.6
7115,81,19,8/9/2023 15:26:31.8
7115,82,21,8/9/2023 15:27:05.6
7115,81,21,8/9/2023 15:27:07.1
7115,82,20,8/9/2023 15:27:27.9
7115,82,19,8/9/2023 15:27:29.6
7115,82,21,8/9/2023 15:28:10.1
7115,81,19,8/9/2023 15:28:11.3
7115,82,19,8/9/2023 15:28:30.8
7115,81,20,8/9/2023 15:28:51.9
7115,81,21,8/9/2023 15:28:51.9
7115,82,20,8/9/2023 15:28:52.1
7115,81,20,8/9/2023 15:28:52.5
7115,81,19,8/9/2023 15:28:53.0
7115,82,19,8/9/2023 15:28:53.7
7115,81,19,8/9/2023 15:28:55.3
7115,82,19,8/9/2023 15:29:02.6
7115,81,19,8/9/2023 15:29:03.8
7115,82,19,8/9/2023 15:29:19.5
7115,81,19,8/9/2023 15:29:20.7
7115,82,19,8/9/2023 15:29:54.3
7115,82,20,8/9/2023 15:30:04.6
7115,82,21,8/9/2023 15:30:11.5
7115,81,19,8/9/2023 15:31:02.8
7115,82,19,8/9/2023 15:31:09.7
7115,81,19,8/9/2023 15:31:10.4
7115,82,19,8/9/2023 15:31:20.9
7115,81,21,8/9/2023 15:31:21.9
7115,82,21,8/9/2023 15:31:22.5
7115,81,20,8/9/2023 15:31:23.9
7115,81,19,8/9/2023 15:31:24.2
7115,81,21,8/9/2023 15:31:24.9
7115,82,19,8/9/2023 15:31:25.5
7115,82,21,8/9/2023 15:31:25.6
7115,81,19,8/9/2023 15:31:26.9
7115,81,21,8/9/2023 15:31:27.8
7115,82,19,8/9/2023 15:31:31.7
7115,81,19,8/9/2023 15:31:32.9
7115,82,21,8/9/2023 15:31:34.0
7115,81,21,8/9/2023 15:31:36.7
7115,82,19,8/9/2023 15:31:38.9
7115,81,19,8/9/2023 15:31:41.3
7115,82,19,8/9/2023 15:32:36.2
7115,82,20,8/9/2023 15:32:43.9
7115,82,21,8/9/2023 15:33:54.5
7115,81,20,8/9/2023 15:33:54.6
7115,82,20,8/9/2023 15:33:55.3
7115,81,20,8/9/2023 15:33:56.2
7115,81,21,8/9/2023 15:33:56.3
7115,81,19,8/9/2023 15:33:57.0
7115,82,19,8/9/2023 15:33:59.1
7115,81,19,8/9/2023 15:34:00.3
7115,82,20,8/9/2023 15:34:09.8
7115,82,19,8/9/2023 15:34:10.0
7115,81,19,8/9/2023 15:34:11.2
7115,82,21,8/9/2023 15:34:11.8
7115,81,21,8/9/2023 15:34:12.1
7115,81,20,8/9/2023 15:34:13.7
7115,82,20,8/9/2023 15:34:23.2
7115,81,20,8/9/2023 15:34:24.3
7115,82,20,8/9/2023 15:34:58.2
7115,82,21,8/9/2023 15:35:01.6
7115,81,20,8/9/2023 15:35:01.7
7115,82,20,8/9/2023 15:35:04.3
7115,82,19,8/9/2023 15:35:14.0
7115,81,21,8/9/2023 15:36:19.3
7115,82,21,8/9/2023 15:36:20.7
7115,81,19,8/9/2023 15:36:23.0
7115,81,20,8/9/2023 15:36:24.4
7115,82,19,8/9/2023 15:36:24.6
7115,81,21,8/9/2023 15:36:25.3
7115,81,19,8/9/2023 15:36:25.9
7115,82,19,8/9/2023 15:36:26.9
7115,81,19,8/9/2023 15:36:28.1
7115,82,20,8/9/2023 15:37:35.7
7115,82,19,8/9/2023 15:37:51.5
7115,82,21,8/9/2023 15:38:12.4
7115,81,19,8/9/2023 15:38:31.4
7115,82,19,8/9/2023 15:38:44.4
7115,81,19,8/9/2023 15:38:51.3
7115,81,21,8/9/2023 15:38:52.3
7115,81,20,8/9/2023 15:38:53.8
7115,82,20,8/9/2023 15:39:28.2
7115,81,20,8/9/2023 15:39:29.0
7115,82,19,8/9/2023 15:39:30.4
7115,82,21,8/9/2023 15:39:30.7
7115,81,19,8/9/2023 15:39:31.5
7115,81,21,8/9/2023 15:39:32.3
7115,82,19,8/9/2023 15:40:13.4
7115,82,21,8/9/2023 15:40:16.6
7115,82,20,8/9/2023 15:41:00.4
7115,81,21,8/9/2023 15:41:21.7
7115,81,20,8/9/2023 15:41:23.2
7115,81,19,8/9/2023 15:41:24.2
7115,82,19,8/9/2023 15:41:30.8
7115,81,19,8/9/2023 15:41:32.2
7115,82,19,8/9/2023 15:41:32.7
7115,81,19,8/9/2023 15:41:34.7
7115,82,21,8/9/2023 15:42:29.2
7115,82,19,8/9/2023 15:43:08.3
7115,81,19,8/9/2023 15:43:09.5
7115,82,19,8/9/2023 15:43:11.9
7115,81,21,8/9/2023 15:43:51.6
7115,81,19,8/9/2023 15:43:54.7
7115,82,19,8/9/2023 15:43:56.8
7115,82,21,8/9/2023 15:43:57.2
7115,81,21,8/9/2023 15:43:58.7
7115,81,19,8/9/2023 15:43:59.8
7115,82,20,8/9/2023 15:44:00.3
7115,81,20,8/9/2023 15:44:01.7
7115,82,19,8/9/2023 15:44:09.3
