SignalIdentifier,EventParam,TimeStamp,EventCode
7191,2,12/1/2020 6:00:03.3,82
7191,2,12/1/2020 6:00:10.7,82
7191,2,12/1/2020 6:00:19.8,82
7191,2,12/1/2020 6:00:27.2,82
7191,2,12/1/2020 6:00:35.8,82
7191,2,12/1/2020 6:00:44.4,82
7191,2,12/1/2020 6:00:50.5,82
7191,2,12/1/2020 6:01:01.5,82
7191,2,12/1/2020 6:01:54.7,82
7191,2,12/1/2020 6:02:01.2,82
7191,2,12/1/2020 6:02:09.0,82
7191,2,12/1/2020 6:02:13.3,82
7191,2,12/1/2020 6:03:30.0,82
7191,2,12/1/2020 6:03:31.6,82
7191,2,12/1/2020 6:03:34.6,82
7191,2,12/1/2020 6:03:35.1,82
7191,2,12/1/2020 6:03:47.8,82
7191,2,12/1/2020 6:04:14.1,82
7191,2,12/1/2020 6:04:56.7,82
7191,2,12/1/2020 6:04:58.1,82
7191,2,12/1/2020 6:05:15.5,82
7191,2,12/1/2020 6:05:16.6,82
7191,2,12/1/2020 6:06:05.2,82
7191,2,12/1/2020 6:06:34.8,82
7191,2,12/1/2020 6:06:48.4,82
7191,2,12/1/2020 6:06:58.6,82
7191,2,12/1/2020 6:07:07.3,82
7191,2,12/1/2020 6:07:13.0,82
7191,2,12/1/2020 6:07:34.7,82
7191,2,12/1/2020 6:08:31.9,82
7191,2,12/1/2020 6:08:36.4,82
7191,2,12/1/2020 6:08:40.2,82
7191,2,12/1/2020 6:08:44.4,82
7191,2,12/1/2020 6:09:36.4,82
7191,2,12/1/2020 6:10:11.4,82
7191,2,12/1/2020 6:10:16.4,82
7191,2,12/1/2020 6:10:19.9,82
7191,2,12/1/2020 6:10:29.0,82
7191,2,12/1/2020 6:10:50.9,82
7191,2,12/1/2020 6:11:01.6,82
7191,2,12/1/2020 6:11:05.8,82
7191,2,12/1/2020 6:11:17.3,82
7191,2,12/1/2020 6:12:10.2,82
7191,2,12/1/2020 6:12:25.5,82
7191,2,12/1/2020 6:12:50.5,82
7191,2,12/1/2020 6:13:37.4,82
7191,2,12/1/2020 6:13:41.7,82
7191,2,12/1/2020 6:13:56.0,82
7191,2,12/1/2020 6:14:06.9,82
7191,2,12/1/2020 6:14:17.3,82
7191,2,12/1/2020 6:14:51.9,82
7191,2,12/1/2020 6:15:16.4,82
7191,2,12/1/2020 6:15:29.3,82
7191,2,12/1/2020 6:15:31.9,82
7191,2,12/1/2020 6:15:48.4,82
7191,2,12/1/2020 6:15:54.9,82
7191,2,12/1/2020 6:15:56.7,82
7191,2,12/1/2020 6:15:58.8,82
7191,2,12/1/2020 6:17:50.3,82
7191,2,12/1/2020 6:17:53.3,82
7191,2,12/1/2020 6:18:09.0,82
7191,2,12/1/2020 6:18:13.3,82
7191,2,12/1/2020 6:18:24.9,82
7191,2,12/1/2020 6:18:34.9,82
7191,2,12/1/2020 6:18:42.8,82
7191,2,12/1/2020 6:18:56.8,82
7191,2,12/1/2020 6:19:03.7,82
7191,2,12/1/2020 6:19:27.2,82
7191,2,12/1/2020 6:19:28.8,82
7191,2,12/1/2020 6:19:31.4,82
7191,2,12/1/2020 6:19:42.6,82
7191,2,12/1/2020 6:19:56.2,82
7191,2,12/1/2020 6:20:03.4,82
7191,2,12/1/2020 6:20:46.2,82
7191,2,12/1/2020 6:21:24.3,82
7191,2,12/1/2020 6:21:27.0,82
7191,2,12/1/2020 6:21:30.4,82
7191,2,12/1/2020 6:21:36.9,82
7191,2,12/1/2020 6:21:41.1,82
7191,2,12/1/2020 6:21:44.3,82
7191,2,12/1/2020 6:21:50.4,82
7191,2,12/1/2020 6:21:57.4,82
7191,2,12/1/2020 6:22:03.9,82
7191,2,12/1/2020 6:22:35.5,82
7191,2,12/1/2020 6:23:01.0,82
7191,2,12/1/2020 6:23:02.3,82
7191,2,12/1/2020 6:23:04.6,82
7191,2,12/1/2020 6:23:14.1,82
7191,2,12/1/2020 6:23:36.3,82
7191,2,12/1/2020 6:24:17.5,82
7191,2,12/1/2020 6:24:42.3,82
7191,2,12/1/2020 6:24:46.5,82
7191,2,12/1/2020 6:24:51.4,82
7191,2,12/1/2020 6:24:52.3,82
7191,2,12/1/2020 6:24:52.7,82
7191,2,12/1/2020 6:24:58.1,82
7191,2,12/1/2020 6:25:00.6,82
7191,2,12/1/2020 6:25:04.3,82
7191,2,12/1/2020 6:25:20.9,82
7191,2,12/1/2020 6:25:27.3,82
7191,2,12/1/2020 6:25:39.2,82
7191,2,12/1/2020 6:25:43.2,82
7191,2,12/1/2020 6:26:35.9,82
7191,2,12/1/2020 6:26:41.7,82
7191,2,12/1/2020 6:26:42.5,82
7191,2,12/1/2020 6:26:43.2,82
7191,2,12/1/2020 6:27:05.0,82
7191,2,12/1/2020 6:28:03.0,82
7191,2,12/1/2020 6:28:04.1,82
7191,2,12/1/2020 6:28:05.7,82
7191,2,12/1/2020 6:28:07.8,82
7191,2,12/1/2020 6:28:08.7,82
7191,2,12/1/2020 6:28:11.8,82
7191,2,12/1/2020 6:28:18.6,82
7191,2,12/1/2020 6:28:21.4,82
7191,2,12/1/2020 6:28:22.2,82
7191,2,12/1/2020 6:28:33.4,82
7191,2,12/1/2020 6:28:43.9,82
7191,2,12/1/2020 6:28:52.1,82
7191,2,12/1/2020 6:28:52.6,82
7191,2,12/1/2020 6:29:01.3,82
7191,2,12/1/2020 6:29:03.5,82
7191,2,12/1/2020 6:29:51.1,82
7191,2,12/1/2020 6:29:54.7,82
7191,2,12/1/2020 6:30:06.6,82
7191,2,12/1/2020 6:30:56.9,82
7191,2,12/1/2020 6:31:39.5,82
7191,2,12/1/2020 6:32:03.3,82
7191,2,12/1/2020 6:32:21.0,82
7191,2,12/1/2020 6:32:21.2,82
7191,2,12/1/2020 6:32:30.4,82
7191,2,12/1/2020 6:32:49.7,82
7191,2,12/1/2020 6:33:00.6,82
7191,2,12/1/2020 6:33:10.6,82
7191,2,12/1/2020 6:33:17.1,82
7191,2,12/1/2020 6:33:34.6,82
7191,2,12/1/2020 6:33:39.7,82
7191,2,12/1/2020 6:33:43.1,82
7191,2,12/1/2020 6:33:44.2,82
7191,2,12/1/2020 6:33:46.2,82
7191,2,12/1/2020 6:33:55.2,82
7191,2,12/1/2020 6:34:04.2,82
7191,2,12/1/2020 6:34:07.9,82
7191,2,12/1/2020 6:34:30.1,82
7191,2,12/1/2020 6:34:37.8,82
7191,2,12/1/2020 6:34:50.1,82
7191,2,12/1/2020 6:34:52.6,82
7191,2,12/1/2020 6:35:03.4,82
7191,2,12/1/2020 6:35:07.0,82
7191,2,12/1/2020 6:35:07.4,82
7191,2,12/1/2020 6:35:13.6,82
7191,2,12/1/2020 6:35:14.7,82
7191,2,12/1/2020 6:35:21.6,82
7191,2,12/1/2020 6:35:21.8,82
7191,2,12/1/2020 6:35:23.3,82
7191,2,12/1/2020 6:35:24.4,82
7191,2,12/1/2020 6:35:25.9,82
7191,2,12/1/2020 6:35:27.8,82
7191,2,12/1/2020 6:35:35.3,82
7191,2,12/1/2020 6:35:35.9,82
7191,2,12/1/2020 6:35:39.6,82
7191,2,12/1/2020 6:35:46.1,82
7191,2,12/1/2020 6:35:57.8,82
7191,2,12/1/2020 6:36:33.3,82
7191,2,12/1/2020 6:36:44.3,82
7191,2,12/1/2020 6:36:44.6,82
7191,2,12/1/2020 6:36:47.3,82
7191,2,12/1/2020 6:36:54.5,82
7191,2,12/1/2020 6:37:26.4,82
7191,2,12/1/2020 6:37:32.0,82
7191,2,12/1/2020 6:37:32.8,82
7191,2,12/1/2020 6:37:40.5,82
7191,2,12/1/2020 6:37:42.0,82
7191,2,12/1/2020 6:37:43.8,82
7191,2,12/1/2020 6:37:48.1,82
7191,2,12/1/2020 6:38:00.6,82
7191,2,12/1/2020 6:38:03.1,82
7191,2,12/1/2020 6:38:09.4,82
7191,2,12/1/2020 6:38:11.5,82
7191,2,12/1/2020 6:38:17.0,82
7191,2,12/1/2020 6:38:17.4,82
7191,2,12/1/2020 6:38:49.5,82
7191,2,12/1/2020 6:38:51.9,82
7191,2,12/1/2020 6:38:52.2,82
7191,2,12/1/2020 6:38:56.0,82
7191,2,12/1/2020 6:38:56.9,82
7191,2,12/1/2020 6:38:58.6,82
7191,2,12/1/2020 6:39:03.0,82
7191,2,12/1/2020 6:39:07.3,82
7191,2,12/1/2020 6:39:11.2,82
7191,2,12/1/2020 6:39:11.7,82
7191,2,12/1/2020 6:39:19.2,82
7191,2,12/1/2020 6:39:25.8,82
7191,2,12/1/2020 6:39:45.6,82
7191,2,12/1/2020 6:39:57.2,82
7191,2,12/1/2020 6:40:10.1,82
7191,2,12/1/2020 6:40:33.3,82
7191,2,12/1/2020 6:40:36.5,82
7191,2,12/1/2020 6:40:43.4,82
7191,2,12/1/2020 6:40:46.9,82
7191,2,12/1/2020 6:40:49.8,82
7191,2,12/1/2020 6:40:58.5,82
7191,2,12/1/2020 6:40:59.0,82
7191,2,12/1/2020 6:41:01.5,82
7191,2,12/1/2020 6:41:02.4,82
7191,2,12/1/2020 6:41:03.5,82
7191,2,12/1/2020 6:41:06.7,82
7191,2,12/1/2020 6:41:19.3,82
7191,2,12/1/2020 6:41:22.5,82
7191,2,12/1/2020 6:41:50.1,82
7191,2,12/1/2020 6:42:18.7,82
7191,2,12/1/2020 6:42:19.7,82
7191,2,12/1/2020 6:42:22.2,82
7191,2,12/1/2020 6:42:26.5,82
7191,2,12/1/2020 6:42:28.0,82
7191,2,12/1/2020 6:42:28.4,82
7191,2,12/1/2020 6:42:31.5,82
7191,2,12/1/2020 6:42:32.4,82
7191,2,12/1/2020 6:42:32.7,82
7191,2,12/1/2020 6:42:33.7,82
7191,2,12/1/2020 6:42:36.9,82
7191,2,12/1/2020 6:42:40.7,82
7191,2,12/1/2020 6:42:44.0,82
7191,2,12/1/2020 6:42:49.6,82
7191,2,12/1/2020 6:42:51.0,82
7191,2,12/1/2020 6:42:55.3,82
7191,2,12/1/2020 6:43:17.1,82
7191,2,12/1/2020 6:43:29.5,82
7191,2,12/1/2020 6:43:44.2,82
7191,2,12/1/2020 6:43:45.5,82
7191,2,12/1/2020 6:44:07.4,82
7191,2,12/1/2020 6:44:20.3,82
7191,2,12/1/2020 6:44:31.4,82
7191,2,12/1/2020 6:44:40.3,82
7191,2,12/1/2020 6:44:42.8,82
7191,2,12/1/2020 6:44:44.9,82
7191,2,12/1/2020 6:44:45.3,82
7191,2,12/1/2020 6:44:46.6,82
7191,2,12/1/2020 6:44:52.1,82
7191,2,12/1/2020 6:44:55.4,82
7191,2,12/1/2020 6:44:57.3,82
7191,2,12/1/2020 6:45:04.5,82
7191,2,12/1/2020 6:45:07.9,82
7191,2,12/1/2020 6:45:10.2,82
7191,2,12/1/2020 6:45:12.9,82
7191,2,12/1/2020 6:45:17.6,82
