DetectorId,Mph,Kph,TimeStamp
500006,46,74,6/14/2023 0:00:21.6
500008,43,69,6/14/2023 0:00:32.1
500006,54,87,6/14/2023 0:00:59.8
500006,46,74,6/14/2023 0:01:06.4
500008,37,60,6/14/2023 0:01:13.0
500006,55,89,6/14/2023 0:01:16.7
500006,42,68,6/14/2023 0:01:25.8
500006,36,58,6/14/2023 0:01:49.8
500006,34,55,6/14/2023 0:02:08.4
500008,19,31,6/14/2023 0:02:13.3
500006,45,72,6/14/2023 0:02:32.1
500006,36,58,6/14/2023 0:02:41.9
500006,47,76,6/14/2023 0:02:56.0
500008,33,53,6/14/2023 0:03:31.7
500006,45,72,6/14/2023 0:03:37.8
500008,29,47,6/14/2023 0:03:43.7
500008,41,66,6/14/2023 0:03:44.8
500008,35,56,6/14/2023 0:03:50.0
500006,43,69,6/14/2023 0:03:52.7
500006,43,69,6/14/2023 0:04:00.5
500006,41,66,6/14/2023 0:04:23.2
500006,40,64,6/14/2023 0:04:32.9
500006,41,66,6/14/2023 0:04:38.9
500006,37,60,6/14/2023 0:04:53.9
500008,24,39,6/14/2023 0:05:10.8
500006,43,69,6/14/2023 0:05:12.6
500006,49,79,6/14/2023 0:05:17.0
500008,37,60,6/14/2023 0:05:18.4
500006,55,89,6/14/2023 0:05:44.5
500006,45,72,6/14/2023 0:05:46.3
500006,44,71,6/14/2023 0:05:49.8
500006,38,61,6/14/2023 0:05:58.1
500008,45,72,6/14/2023 0:05:58.8
500006,44,71,6/14/2023 0:06:24.6
500008,37,60,6/14/2023 0:06:38.5
500008,29,47,6/14/2023 0:06:57.1
500006,37,60,6/14/2023 0:07:03.8
500008,47,76,6/14/2023 0:07:21.4
500006,46,74,6/14/2023 0:07:39.8
500006,34,55,6/14/2023 0:08:02.3
500008,24,39,6/14/2023 0:08:12.2
500006,47,76,6/14/2023 0:08:27.2
500008,43,69,6/14/2023 0:08:59.7
500008,45,72,6/14/2023 0:09:02.8
500006,50,80,6/14/2023 0:09:03.8
500006,47,76,6/14/2023 0:09:25.0
500008,37,60,6/14/2023 0:09:40.1
500008,55,89,6/14/2023 0:09:57.5
500008,52,84,6/14/2023 0:09:57.7
500008,41,66,6/14/2023 0:10:01.2
500006,49,79,6/14/2023 0:10:05.3
500008,42,68,6/14/2023 0:10:06.3
500008,49,79,6/14/2023 0:10:16.5
500006,55,89,6/14/2023 0:10:22.5
500006,50,80,6/14/2023 0:10:25.2
500008,47,76,6/14/2023 0:10:33.4
500008,55,89,6/14/2023 0:10:50.2
500008,17,27,6/14/2023 0:11:04.1
500006,48,77,6/14/2023 0:11:10.7
500006,39,63,6/14/2023 0:11:58.1
