SignalIdentifier,Timestamp,EventCode,EventParam
7115,01:37.2,4,7
7115,01:43.7,11,7
7115,04:28.3,4,7
7115,04:34.8,11,7
7115,07:06.9,4,7
7115,07:13.4,11,7
7115,09:30.1,4,7
7115,09:36.6,11,7
7115,12:13.5,4,7
7115,12:20.0,11,7
7115,14:40.0,4,7
7115,14:46.5,11,7
7115,17:06.1,4,7
7115,17:12.6,11,7
7115,19:36.3,4,7
7115,19:42.8,11,7
7115,21:59.4,4,7
7115,22:05.9,11,7
7115,24:41.8,4,7
7115,24:48.3,11,7
7115,29:40.2,4,7
7115,29:46.7,11,7
7115,32:07.5,4,7
7115,32:14.0,11,7
7115,34:29.3,4,7
7115,34:35.8,11,7
7115,37:09.2,4,7
7115,37:15.7,11,7
7115,39:37.4,4,7
7115,39:43.9,11,7
7115,42:10.0,4,7
7115,42:16.5,11,7
7115,44:44.5,6,7
7115,44:51.0,11,7
7115,47:14.5,6,7
7115,47:21.0,11,7
7115,49:44.5,6,7
7115,49:51.0,11,7
7115,52:05.0,4,7
7115,52:11.5,11,7
7115,54:39.0,4,7
7115,54:45.5,11,7
7115,57:06.7,4,7
7115,57:13.2,11,7
7115,59:44.5,6,7
7115,59:51.0,11,7
7115,02:04.8,4,7
7115,02:11.3,11,7
7115,04:44.5,6,7
7115,04:51.0,11,7
7115,07:03.6,4,7
7115,07:10.1,11,7
7115,09:35.9,4,7
7115,09:42.4,11,7
7115,12:14.5,6,7
7115,12:21.0,11,7
7115,14:36.5,4,7
7115,14:43.0,11,7
7115,17:01.1,4,7
7115,17:07.6,11,7
7115,19:34.3,4,7
7115,19:40.8,11,7
7115,22:12.1,4,7
7115,22:18.6,11,7
7115,24:39.1,4,7
7115,24:45.6,11,7
7115,27:14.5,6,7
7115,27:21.0,11,7
7115,29:39.4,4,7
7115,29:45.9,11,7
7115,32:14.1,4,7
7115,32:20.6,11,7
7115,34:30.7,4,7
7115,34:37.2,11,7
7115,37:14.5,6,7
7115,37:21.0,11,7
7115,39:44.5,6,7
7115,39:51.0,11,7
7115,42:14.5,6,7
7115,42:21.0,11,7
7115,44:38.5,4,7
7115,44:45.0,11,7
7115,47:14.5,6,7
7115,47:21.0,11,7
7115,49:44.5,6,7
7115,49:51.0,11,7
7115,52:14.5,6,7
7115,52:21.0,11,7
7115,54:44.5,6,7
7115,54:51.0,11,7
7115,57:07.2,4,7
7115,57:13.7,11,7
7115,59:42.5,4,7
7115,59:49.0,11,7
7115,02:11.9,4,7
7115,02:18.4,11,7
7115,04:40.3,4,7
7115,04:46.8,11,7
7115,07:14.0,4,7
7115,07:20.5,11,7
7115,09:41.5,4,7
7115,09:48.0,11,7
7115,12:00.5,4,7
7115,12:07.0,11,7
7115,14:34.0,4,7
7115,14:40.5,11,7
7115,17:14.5,6,7
7115,17:21.0,11,7
7115,19:44.5,6,7
7115,19:51.0,11,7
7115,22:02.3,4,7
7115,22:08.8,11,7
7115,24:41.5,4,7
7115,24:48.0,11,7
7115,27:13.2,4,7
7115,27:19.7,11,7
7115,29:37.2,4,7
7115,29:43.7,11,7
7115,32:01.9,4,7
7115,32:08.4,11,7
7115,34:44.5,6,7
7115,34:51.0,11,7
7115,37:12.0,4,7
7115,37:18.5,11,7
7115,39:36.0,4,7
7115,39:42.5,11,7
7115,42:07.8,4,7
7115,42:14.3,11,7
7115,44:42.3,4,7
7115,44:48.8,11,7
7115,47:14.5,6,7
7115,47:21.0,11,7
7115,49:34.4,4,7
7115,49:40.9,11,7
7115,52:10.2,4,7
7115,52:16.7,11,7
7115,54:44.5,6,7
7115,54:51.0,11,7
7115,57:08.9,4,7
7115,57:15.4,11,7
7115,59:38.9,4,7
7115,59:45.4,11,7
