SignalIdentifier,Timestamp,EventCode,EventParam
7573,4/17/2023 12:02:14 PM,102,1
7573,4/17/2023 12:02:20 PM,105,1
7573,4/17/2023 12:02:25 PM,107,1
7573,4/17/2023 12:03:01 PM,104,1
7573,4/17/2023 12:03:07 PM,111,1
7573,4/17/2023 12:08:11 PM,102,1
7573,4/17/2023 12:08:17 PM,105,1
7573,4/17/2023 12:08:22 PM,107,1
7573,4/17/2023 12:09:23 PM,104,1
7573,4/17/2023 12:09:29 PM,111,1
7573,4/17/2023 12:16:57 PM,102,1
7573,4/17/2023 12:17:03 PM,105,1
7573,4/17/2023 12:17:08 PM,107,1
7573,4/17/2023 12:17:44 PM,104,1
7573,4/17/2023 12:17:50 PM,111,1
7573,4/17/2023 12:23:27 PM,102,1
7573,4/17/2023 12:23:33 PM,105,1
7573,4/17/2023 12:23:38 PM,107,1
7573,4/17/2023 12:24:25 PM,104,1
7573,4/17/2023 12:24:31 PM,111,1
7573,4/17/2023 12:38:33 PM,102,1
7573,4/17/2023 12:38:39 PM,105,1
7573,4/17/2023 12:38:44 PM,107,1
7573,4/17/2023 12:39:31 PM,104,1
7573,4/17/2023 12:39:37 PM,111,1
7573,4/17/2023 12:42:24 PM,102,1
7573,4/17/2023 12:42:30 PM,105,1
7573,4/17/2023 12:42:35 PM,107,1
7573,4/17/2023 12:43:10 PM,104,1
7573,4/17/2023 12:43:16 PM,111,1
7573,4/17/2023 12:53:16 PM,102,1
7573,4/17/2023 12:53:22 PM,105,1
7573,4/17/2023 12:53:27 PM,107,1
7573,4/17/2023 12:54:08 PM,104,1
7573,4/17/2023 12:54:15 PM,111,1
7573,4/17/2023 12:55:46 PM,102,1
7573,4/17/2023 12:55:52 PM,105,1
7573,4/17/2023 12:55:57 PM,107,1
7573,4/17/2023 12:56:44 PM,104,1
7573,4/17/2023 12:56:50 PM,111,1
7573,4/17/2023 1:08:08 PM,102,1
7573,4/17/2023 1:08:14 PM,105,1
7573,4/17/2023 1:08:19 PM,107,1
7573,4/17/2023 1:09:40 PM,104,1
7573,4/17/2023 1:09:46 PM,111,1
7573,4/17/2023 1:19:16 PM,102,1
7573,4/17/2023 1:19:22 PM,105,1
7573,4/17/2023 1:19:27 PM,107,1
7573,4/17/2023 1:20:08 PM,104,1
7573,4/17/2023 1:20:14 PM,111,1
7573,4/17/2023 1:23:34 PM,102,1
7573,4/17/2023 1:23:40 PM,105,1
7573,4/17/2023 1:23:45 PM,107,1
7573,4/17/2023 1:24:33 PM,104,1
7573,4/17/2023 1:24:39 PM,111,1
7573,4/17/2023 1:33:31 PM,102,1
7573,4/17/2023 1:33:37 PM,105,1
7573,4/17/2023 1:33:42 PM,107,1
7573,4/17/2023 1:34:30 PM,104,1
7573,4/17/2023 1:34:37 PM,111,1
7573,4/17/2023 1:38:33 PM,102,1
7573,4/17/2023 1:38:39 PM,105,1
7573,4/17/2023 1:38:44 PM,107,1
7573,4/17/2023 1:39:40 PM,104,1
7573,4/17/2023 1:39:46 PM,111,1
7573,4/17/2023 1:51:04 PM,102,1
7573,4/17/2023 1:51:10 PM,105,1
7573,4/17/2023 1:51:15 PM,107,1
7573,4/17/2023 1:51:53 PM,104,1
7573,4/17/2023 1:52:00 PM,111,1
7573,4/17/2023 1:53:24 PM,102,1
7573,4/17/2023 1:53:30 PM,105,1
7573,4/17/2023 1:53:35 PM,107,1
7573,4/17/2023 1:54:23 PM,104,1
7573,4/17/2023 1:54:29 PM,111,1
7573,4/17/2023 12:00:00 AM,131,254
7573,4/18/2023 12:00:00 AM,131,254
